Region	Group	max_MAF	Pvalue_Burden	BETA_Burden	SE_Burden	MAC	MAC_case	MAC_control	Number_rare	Number_ultra_rare
GENE1	lof	0.001000	0.0372008	0.154453	0.0741297	5	2	3	0	4
GENE1	lof	0.010000	0.286746	-0.0224025	0.0210296	98	7	91	3	12
GENE1	missense;lof	0.001000	0.0512631	0.0976599	0.0501008	10	3	7	0	7
GENE1	missense;lof	0.010000	0.35032	-0.0175425	0.0187828	119	10	109	4	17
GENE1	missense;lof;synonymous	0.001000	0.0512631	0.0976599	0.0501008	10	3	7	0	7
GENE1	missense;lof;synonymous	0.010000	0.35032	-0.0175425	0.0187828	119	10	109	4	17
GENE1	Cauchy	NA	0.0824712	NA	NA	NA	NA	NA	NA	NA
GENE2	lof	0.001000	0.371165	-0.05778	0.0646097	5	0	5	0	3
GENE2	lof	0.010000	0.923704	-0.00347292	0.0362633	22	2	20	1	4
GENE2	missense;lof	0.001000	0.981605	-0.000915743	0.0397167	15	2	13	0	9
GENE2	missense;lof	0.010000	0.43925	0.0164135	0.0212209	77	10	67	3	15
GENE2	missense;lof;synonymous	0.001000	0.981605	-0.000915743	0.0397167	15	2	13	0	9
GENE2	missense;lof;synonymous	0.010000	0.43925	0.0164135	0.0212209	77	10	67	3	15
GENE2	Cauchy	NA	0.949953	NA	NA	NA	NA	NA	NA	NA
