Region	Group	max_MAF	Pvalue	Pvalue_Burden	Pvalue_SKAT	BETA_Burden	SE_Burden	MAC	MAC_case	MAC_control	Number_rare	Number_ultra_rare
GENE1	lof	0.001	0.0270316281502237	0.0270316281502237	0.0270316281502237	0.147957261247377	0.0669168673854481	5	2	3	0	4
GENE1	lof	0.01	0.44342814758188	0.298356728030648	0.850484157030136	-0.0213667788729323	0.0205456952057579	98	7	91	3	12
GENE1	missense;lof	0.001	0.0583927835869055	0.0583927835869055	0.0583927835869055	0.0920773759154818	0.0486477257076315	10	3	7	0	7
GENE1	missense;lof	0.01	0.534277647336233	0.363255459147442	0.940508016247573	-0.0163950574666231	0.0180328087631822	119	10	109	4	17
GENE1	missense;lof;synonymous	0.001	0.0583927835869055	0.0583927835869055	0.0583927835869055	0.0920773759154818	0.0486477257076315	10	3	7	0	7
GENE1	missense;lof;synonymous	0.01	0.534277647336233	0.363255459147442	0.940508016247573	-0.0163950574666231	0.0180328087631822	119	10	109	4	17
GENE1	Cauchy	NA	0.0829863208963245	0.0774285422203569	0.172289713039356	NA	NA	NA	NA	NA	NA	NA
GENE2	lof	0.001	0.383040207887141	0.383040207887141	0.383040207887141	-0.0549741137131291	0.0630214264461218	5	0	5	0	3
GENE2	lof	0.01	0.591662569909487	0.924409721964379	0.459456298402573	-0.00327406361992773	0.0345072233247003	22	2	20	1	4
GENE2	missense;lof	0.001	0.982072423526329	0.982072423526329	0.982072423526329	-0.000869779030603036	0.0387071204209754	15	2	13	0	9
GENE2	missense;lof	0.01	0.626230172404816	0.450942060093651	0.696089590157029	0.0161518967203	0.0214260069140756	77	10	67	3	15
GENE2	missense;lof;synonymous	0.001	0.982072423526329	0.982072423526329	0.982072423526329	-0.000869779030603036	0.0387071204209754	15	2	13	0	9
GENE2	missense;lof;synonymous	0.01	0.626230172404816	0.450942060093651	0.696089590157029	0.0161518967203	0.0214260069140756	77	10	67	3	15
GENE2	Cauchy	NA	0.947747761396885	0.951298325850862	0.947965207426274	NA	NA	NA	NA	NA	NA	NA
