Region	Group	max_MAF	Pvalue_Burden	BETA_Burden	SE_Burden	MAC	MAC_case	MAC_control	Number_rare	Number_ultra_rare
GENE1	lof	0.001	0.0388124	0.151883	0.0735093	5	2	3	0	4
GENE1	lof	0.01	0.299901	-0.0217027	0.0209355	98	7	91	3	12
GENE1	missense;lof	0.001	0.0550724	0.095317	0.0496882	10	3	7	0	7
GENE1	missense;lof	0.01	0.359007	-0.0171061	0.0186492	119	10	109	4	17
GENE1	missense;lof;synonymous	0.001	0.0550724	0.095317	0.0496882	10	3	7	0	7
GENE1	missense;lof;synonymous	0.01	0.359007	-0.0171061	0.0186492	119	10	109	4	17
GENE1	Cauchy	NA	0.0874763	NA	NA	NA	NA	NA	NA	NA
GENE2	lof	0.001	0.427554	-0.0524451	0.066103	5	0	5	0	3
GENE2	lof	0.01	0.953041	-0.0021284	0.0361427	22	2	20	1	4
GENE2	missense;lof	0.001	0.958693	0.00207247	0.040014	15	2	13	0	9
GENE2	missense;lof	0.01	0.424798	0.0168752	0.0211436	77	10	67	3	15
GENE2	missense;lof;synonymous	0.001	0.958693	0.00207247	0.040014	15	2	13	0	9
GENE2	missense;lof;synonymous	0.01	0.424798	0.0168752	0.0211436	77	10	67	3	15
GENE2	Cauchy	NA	0.912761	NA	NA	NA	NA	NA	NA	NA
