Region	Group	max_MAF	Pvalue	Pvalue_Burden	Pvalue_SKAT	BETA_Burden	SE_Burden	MAC	MAC_case	MAC_control	Number_rare	Number_ultra_rare
GENE1	lof	0.001	0.02789957434346	0.02789957434346	0.02789957434346	0.146697729426514	0.0667203453339465	5	2	3	0	4
GENE1	lof	0.01	0.459738796845338	0.310705301719048	0.843072279522672	-0.0207568796101264	0.0204754808555293	98	7	91	3	12
GENE1	missense;lof	0.001	0.0620790962940564	0.0620790962940564	0.0620790962940564	0.090164042733844	0.0483264052790977	10	3	7	0	7
GENE1	missense;lof	0.01	0.544020023960688	0.371138917268034	0.938603800938621	-0.0160582200140096	0.0179553453049487	119	10	109	4	17
GENE1	missense;lof;synonymous	0.001	0.0620790962940564	0.0620790962940564	0.0620790962940564	0.090164042733844	0.0483264052790977	10	3	7	0	7
GENE1	missense;lof;synonymous	0.01	0.544020023960688	0.371138917268034	0.938603800938621	-0.0160582200140096	0.0179553453049487	119	10	109	4	17
GENE1	Cauchy	NA	0.087192518866038	0.0810992042065763	0.18078623016617	NA	NA	NA	NA	NA	NA	NA
GENE2	lof	0.001	0.437070821509364	0.437070821509364	0.437070821509364	-0.0503206984742097	0.0647503804696149	5	0	5	0	3
GENE2	lof	0.01	0.638936192384784	0.952842479384613	0.506043240136383	-0.00201157300100681	0.0340151049321079	22	2	20	1	4
GENE2	missense;lof	0.001	0.959663349227163	0.959663349227163	0.959663349227163	0.00197618026453239	0.0390734416416495	15	2	13	0	9
GENE2	missense;lof	0.01	0.609084072175614	0.435845948669061	0.720229214692062	0.0167133851568514	0.0214486702846587	77	10	67	3	15
GENE2	missense;lof;synonymous	0.001	0.959663349227163	0.959663349227163	0.959663349227163	0.00197618026453239	0.0390734416416495	15	2	13	0	9
GENE2	missense;lof;synonymous	0.01	0.609084072175615	0.435845948669061	0.720229214692062	0.0167133851568514	0.0214486702846587	77	10	67	3	15
GENE2	Cauchy	NA	0.890074064766658	0.914469680892107	0.893011567324811	NA	NA	NA	NA	NA	NA	NA
