Region	Group	max_MAF	Pvalue	Pvalue_Burden	Pvalue_SKAT	BETA_Burden	SE_Burden	MAC	MAC_case	MAC_control	Number_rare	Number_ultra_rare
GENE1	lof	0.001	0.0365825883237305	0.0365825883237305	0.0365825883237305	0.131585990401446	0.0629479932715492	5	2	3	0	4
GENE1	lof	0.01	0.443664767368159	0.298292239353861	0.850776704859989	-0.0212347332018448	0.0204159987249395	98	7	91	3	12
GENE1	missense;lof	0.001	0.0576183517768136	0.0576183517768136	0.0576183517768136	0.0921625326363943	0.0485426096628765	10	3	7	0	7
GENE1	missense;lof	0.01	0.535942214045863	0.364543984782291	0.940940233932856	-0.0162543150487392	0.0179260914718727	119	10	109	4	17
GENE1	missense;lof;synonymous	0.001	0.0576183517768136	0.0576183517768136	0.0576183517768136	0.0921625326363943	0.0485426096628765	10	3	7	0	7
GENE1	missense;lof;synonymous	0.01	0.535942214045863	0.364543984782291	0.940940233932856	-0.0162543150487392	0.0179260914718727	119	10	109	4	17
GENE1	Cauchy		0.0948191241543244	0.0876659749848788	0.226442296318735							
GENE2	lof	0.001	0.392688955694613	0.392688955694613	0.392688955694613	-0.0531863064024627	0.0622243206413524	5	0	5	0	3
GENE2	lof	0.01	0.598652177049838	0.928746014820736	0.465477475839486	-0.00306448653593692	0.034269686287445	22	2	20	1	4
GENE2	missense;lof	0.001	0.984007779929398	0.984007779929398	0.984007779929398	-0.000770013915293788	0.0384149963305005	15	2	13	0	9
GENE2	missense;lof	0.01	0.624237751765704	0.44920538758053	0.698709896225571	0.0161664168881151	0.0213632260664358	77	10	67	3	15
GENE2	missense;lof;synonymous	0.001	0.984007779929398	0.984007779929398	0.984007779929398	-0.000770013915293788	0.0384149963305005	15	2	13	0	9
GENE2	missense;lof;synonymous	0.01	0.624237751765704	0.44920538758053	0.698709896225571	0.0161664168881151	0.0213632260664358	77	10	67	3	15
GENE2	Cauchy		0.953259890577428	0.956365117937973	0.953473319698804							
