Region	Group	max_MAF	Pvalue	Pvalue_Burden	Pvalue_SKAT	BETA_Burden	SE_Burden	MAC	MAC_case	MAC_control	Number_rare	Number_ultra_rare
GENE1	lof	0.001	0.0389702027845137	0.0389702027845137	0.0389702027845137	0.473498110499835	0.229352285303832	38.4	12.1	26.3	0	4
GENE1	lof	0.01	0.387813343144419	0.2609583087922	0.751254628314804	-0.0581635790076949	0.0517410186586869	336.4	25.4	311	3	12
GENE1	missense;lof	0.001	0.0340256884512364	0.0340256884512364	0.0340256884512364	0.470516998343912	0.221966361931944	43.5	13.5	30	0	7
GENE1	missense;lof	0.01	0.349468943677959	0.229947126559847	0.717714165481819	-0.059659476751382	0.0496957282806837	374.7	29.3	345.4	4	17
GENE1	missense;lof;synonymous	0.001	0.0340256884512364	0.0340256884512364	0.0340256884512364	0.470516998343912	0.221966361931944	43.5	13.5	30	0	7
GENE1	missense;lof;synonymous	0.01	0.349468943677959	0.229947126559847	0.717714165481819	-0.059659476751382	0.0496957282806837	374.7	29.3	345.4	4	17
GENE1	Cauchy	NA	0.0668296108164599	0.0628971605194673	0.0775834378727134	NA	NA	NA	NA	NA	NA	NA
GENE2	lof	0.001	0.490805449398279	0.490805449398279	0.490805449398279	-0.205677501622846	0.298503700417927	22.1	0	22.1	0	3
GENE2	lof	0.01	0.659600663470476	0.952316208162445	0.523425493494268	0.0074025443633289	0.123791700872741	62.3	2	60.3	1	4
GENE2	missense;lof	0.001	0.835671659166544	0.835671659166544	0.835671659166544	-0.0326181767441691	0.157246754159023	65.4	7	58.4	0	9
GENE2	missense;lof	0.01	0.828312315225047	0.776931199601684	0.710532033783867	0.0210069015778577	0.074145376044615	272.3	25.3	247	3	15
GENE2	missense;lof;synonymous	0.001	0.835671659166544	0.835671659166544	0.835671659166544	-0.0326181767441691	0.157246754159023	65.4	7	58.4	0	9
GENE2	missense;lof;synonymous	0.01	0.828312315225047	0.776931199601684	0.710532033783867	0.0210069015778577	0.074145376044615	272.3	25.3	247	3	15
GENE2	Cauchy	NA	0.782801294638999	0.857458828444959	0.725021398926717	NA	NA	NA	NA	NA	NA	NA
