Region	Group	max_MAF	Pvalue	Pvalue_Burden	Pvalue_SKAT	BETA_Burden	SE_Burden	MAC	MAC_case	MAC_control	Number_rare	Number_ultra_rare
GENE1	lof	0.001	0.0283537976398135	0.0283537976398135	0.0283537976398135	0.14649236305803	0.0668195998248126	5	2	3	0	4
GENE1	lof	0.01	0.46152853976314	0.312121410929332	0.844425087625352	-0.0207068456040478	0.0204859926273669	98	7	91	3	12
GENE1	missense;lof	0.001	0.063070386271008	0.063070386271008	0.063070386271008	0.0897755565636575	0.0483003170585103	10	3	7	0	7
GENE1	missense;lof	0.01	0.54612943394701	0.372895964460389	0.939405730812468	-0.016010432526283	0.0179678118516929	119	10	109	4	17
GENE1	missense;lof;synonymous	0.001	0.063070386271008	0.063070386271008	0.063070386271008	0.0897755565636575	0.0483003170585103	10	3	7	0	7
GENE1	missense;lof;synonymous	0.01	0.54612943394701	0.372895964460389	0.939405730812468	-0.016010432526283	0.0179678118516929	119	10	109	4	17
GENE1	Cauchy	NA	0.0886353078448723	0.0823512749625539	0.188836864426423	NA	NA	NA	NA	NA	NA	NA
GENE2	lof	0.001	0.437037253111228	0.437037253111228	0.437037253111228	-0.0503588972519562	0.06479478848241	5	0	5	0	3
GENE2	lof	0.01	0.636661897274354	0.950721003866149	0.50143547202484	-0.0021068715226134	0.0340910105095055	22	2	20	1	4
GENE2	missense;lof	0.001	0.957313218217683	0.957313218217683	0.957313218217683	0.00209374290636692	0.0391167411402205	15	2	13	0	9
GENE2	missense;lof	0.01	0.610315039123972	0.436918410944786	0.719181738491497	0.0166694696129096	0.021442384351187	77	10	67	3	15
GENE2	missense;lof;synonymous	0.001	0.957313218217683	0.957313218217683	0.957313218217683	0.00209374290636692	0.0391167411402205	15	2	13	0	9
GENE2	missense;lof;synonymous	0.01	0.610315039123972	0.436918410944786	0.719181738491497	0.0166694696129096	0.021442384351187	77	10	67	3	15
GENE2	Cauchy	NA	0.884503271064754	0.909907842621638	0.887566762842845	NA	NA	NA	NA	NA	NA	NA
