Region	Group	max_MAF	Pvalue	Pvalue_Burden	Pvalue_SKAT	BETA_Burden	SE_Burden	MAC	MAC_case	MAC_control	Number_rare	Number_ultra_rare
GENE1	lof	0.001	0.0370764119933103	0.0370764119933103	0.0370764119933103	0.131536467559616	0.0630894052001614	5	2	3	0	4
GENE1	lof	0.01	0.442780266201403	0.297859314708783	0.850375792809788	-0.0214158372781911	0.0205716788811243	98	7	91	3	12
GENE1	missense;lof	0.001	0.0584098151802253	0.0584098151802253	0.0584098151802253	0.0920806871539098	0.0486527651830762	10	3	7	0	7
GENE1	missense;lof	0.01	0.534114792160993	0.363134665218062	0.94042762869214	-0.0164297147211513	0.0180663795443316	119	10	109	4	17
GENE1	missense;lof;synonymous	0.001	0.0584098151802253	0.0584098151802253	0.0584098151802253	0.0920806871539098	0.0486527651830762	10	3	7	0	7
GENE1	missense;lof;synonymous	0.01	0.534114792160993	0.363134665218062	0.94042762869214	-0.0164297147211513	0.0180663795443316	119	10	109	4	17
GENE1	Cauchy	NA	0.0959905574500348	0.0886776702781698	0.230290037457084	NA	NA	NA	NA	NA	NA	NA
GENE2	lof	0.001	0.383519963469708	0.383519963469708	0.383519963469708	-0.0549389452678646	0.0630446611260339	5	0	5	0	3
GENE2	lof	0.01	0.592669943126531	0.924580060786782	0.460412041819122	-0.00326654535958905	0.0345059744996258	22	2	20	1	4
GENE2	missense;lof	0.001	0.982566718143126	0.982566718143126	0.982566718143126	-0.000845887456435337	0.0387114051073211	15	2	13	0	9
GENE2	missense;lof	0.01	0.626432914588233	0.451085692700652	0.696349388322606	0.0161512063789784	0.0214318902802172	77	10	67	3	15
GENE2	missense;lof;synonymous	0.001	0.982566718143126	0.982566718143126	0.982566718143126	-0.000845887456435337	0.0387114051073211	15	2	13	0	9
GENE2	missense;lof;synonymous	0.01	0.626432914588232	0.451085692700652	0.696349388322606	0.0161512063789784	0.0214318902802172	77	10	67	3	15
GENE2	Cauchy	NA	0.94914701929364	0.952524094660008	0.949353839992881	NA	NA	NA	NA	NA	NA	NA
