CHR	POS	MarkerID	Allele1	Allele2	AC_Allele2	AF_Allele2	MissingRate	BETA	SE	Tstat	var	p.value	p.value.NA	Is.SPA	AF_case	AF_ctrl	N_case	N_ctrl
1	4	rs4	A	C	20	0.01	0	-0.0669246	0.788882	-0.107538	1.60685	0.932393	0.932393	false	0.0102041	0.00997783	98	902
1	17	rs17	A	C	12	0.006	0	-0.054941	0.828688	-0.0800044	1.45619	0.94714	0.94714	false	0.0102041	0.00554324	98	902
1	31	rs31	A	C	16	0.008	0	-1.16567	1.06572	-1.02634	0.880474	0.274047	0.274047	false	0	0.00886918	98	902
1	33	rs33	A	C	17	0.0085	0	-0.408005	0.912653	-0.489839	1.20057	0.654836	0.654836	false	0.00510204	0.00886918	98	902
UR	UR	GENE1:lof:0.001	UR	UR	38.4	0.0192	0	0.59901	0.285495	9.00145	15.0272	0.0358923	0.0202298	true	0.0617347	0.0145787	98	902
UR	UR	GENE1:lof:0.01	UR	UR	283.4	0.1417	0	-0.0505528	0.0806513	-7.77181	153.737	0.530786	0.530786	false	0.114286	0.144678	98	902
UR	UR	GENE1:missense;lof:0.001	UR	UR	43.5	0.02175	0	0.607226	0.281808	9.54995	15.7272	0.0311816	0.0160355	true	0.0688776	0.0166297	98	902
UR	UR	GENE1:missense;lof:0.01	UR	UR	309.7	0.15485	0	-0.0589448	0.0773612	-9.84914	167.091	0.446095	0.446095	false	0.12398	0.158204	98	902
UR	UR	GENE1:missense;lof;synonymous:0.001	UR	UR	43.5	0.02175	0	0.607226	0.281808	9.54995	15.7272	0.0311816	0.0160355	true	0.0688776	0.0166297	98	902
UR	UR	GENE1:missense;lof;synonymous:0.01	UR	UR	309.7	0.15485	0	-0.0589448	0.0773612	-9.84914	167.091	0.446095	0.446095	false	0.12398	0.158204	98	902
1	60	rs60	A	C	11	0.0055	0	1.20941	0.945307	1.3534	1.11906	0.200762	0.200762	false	0.0153061	0.00443459	98	902
1	70	rs70	A	C	12	0.006	0	-0.125994	1.0461	-0.115133	0.913797	0.904134	0.904134	false	0.00510204	0.00609756	98	902
1	91	rs91	A	C	13	0.0065	0	0.741072	1.00498	0.733751	0.990121	0.460878	0.460878	false	0.0102041	0.00609756	98	902
UR	UR	GENE2:lof:0.001	UR	UR	22.1	0.01105	0	-0.217894	0.307241	-2.30827	10.5935	0.478202	0.478202	false	0	0.0122506	98	902
UR	UR	GENE2:lof:0.01	UR	UR	49.3	0.02465	0	-0.197504	0.219755	-4.08978	20.7073	0.368787	0.368787	false	0	0.0273282	98	902
UR	UR	GENE2:missense;lof:0.001	UR	UR	65.4	0.0327	0	-0.0345556	0.161849	-1.31916	38.1749	0.830933	0.830933	false	0.0357143	0.0323725	98	902
UR	UR	GENE2:missense;lof:0.01	UR	UR	236.3	0.11815	0	-0.0414768	0.091826	-4.91897	118.596	0.651493	0.651493	false	0.0984694	0.120288	98	902
UR	UR	GENE2:missense;lof;synonymous:0.001	UR	UR	65.4	0.0327	0	-0.0345556	0.161849	-1.31916	38.1749	0.830933	0.830933	false	0.0357143	0.0323725	98	902
UR	UR	GENE2:missense;lof;synonymous:0.01	UR	UR	236.3	0.11815	0	-0.0414768	0.091826	-4.91897	118.596	0.651493	0.651493	false	0.0984694	0.120288	98	902
