CHR	POS	MarkerID	Allele1	Allele2	AC_Allele2	AF_Allele2	MissingRate	BETA	SE	Tstat	var	p.value	p.value.NA	Is.SPA	AF_case	AF_ctrl	N_case	N_ctrl
1	4	rs4	A	C	20	0.01	0	-0.151828	0.779439	-0.249913	1.64602	0.845556	0.845556	false	0.0102041	0.00997783	98	902
1	17	rs17	A	C	12	0.006	0	-0.0229615	0.847926	-0.0319363	1.39086	0.978396	0.978396	false	0.0102041	0.00554324	98	902
1	31	rs31	A	C	16	0.008	0	-1.14212	1.07072	-0.996235	0.872267	0.286113	0.286113	false	0	0.00886918	98	902
1	33	rs33	A	C	17	0.0085	0	-0.385421	0.915695	-0.459657	1.19261	0.673824	0.673824	false	0.00510204	0.00886918	98	902
UR	UR	GENE1:lof:0.001	UR	UR	5	0.0025	0	3.65981	1.7494	1.41005	0.385281	0.0364358	0.023106	true	0.0102041	0.00166297	98	902
UR	UR	GENE1:lof:0.01	UR	UR	45	0.0225	0	-0.303734	0.52386	-1.10679	3.64393	0.562049	0.562049	false	0.0204082	0.0227273	98	902
UR	UR	GENE1:missense;lof:0.001	UR	UR	10	0.005	0	2.16957	1.10987	1.76129	0.811814	0.0506066	0.0506066	false	0.0153061	0.00388027	98	902
UR	UR	GENE1:missense;lof:0.01	UR	UR	54	0.027	0	-0.256681	0.480161	-1.11332	4.33737	0.592946	0.592946	false	0.0255102	0.0271619	98	902
UR	UR	GENE1:missense;lof;synonymous:0.001	UR	UR	10	0.005	0	2.16957	1.10987	1.76129	0.811814	0.0506066	0.0506066	false	0.0153061	0.00388027	98	902
UR	UR	GENE1:missense;lof;synonymous:0.01	UR	UR	54	0.027	0	-0.256681	0.480161	-1.11332	4.33737	0.592946	0.592946	false	0.0255102	0.0271619	98	902
1	60	rs60	A	C	11	0.0055	0	1.25669	0.955172	1.37741	1.09607	0.188285	0.188285	false	0.0153061	0.00443459	98	902
1	70	rs70	A	C	12	0.006	0	-0.205815	1.02043	-0.197654	0.96035	0.840157	0.840157	false	0.00510204	0.00609756	98	902
1	91	rs91	A	C	13	0.0065	0	0.78725	1.01495	0.764236	0.970767	0.437951	0.437951	false	0.0102041	0.00609756	98	902
UR	UR	GENE2:lof:0.001	UR	UR	5	0.0025	0	-1.35217	1.518	-0.586799	0.433968	0.373058	0.373058	false	0	0.00277162	98	902
UR	UR	GENE2:lof:0.01	UR	UR	9	0.0045	0	-1.30362	1.24525	-0.84069	0.644888	0.295159	0.295159	false	0	0.00498891	98	902
UR	UR	GENE2:missense;lof:0.001	UR	UR	15	0.0075	0	-0.0197476	0.826947	-0.0288774	1.46233	0.980948	0.980948	false	0.0102041	0.00720621	98	902
UR	UR	GENE2:missense;lof:0.01	UR	UR	41	0.0205	0	-0.11746	0.562584	-0.371122	3.15955	0.834614	0.834614	false	0.0204082	0.02051	98	902
UR	UR	GENE2:missense;lof;synonymous:0.001	UR	UR	15	0.0075	0	-0.0197476	0.826947	-0.0288774	1.46233	0.980948	0.980948	false	0.0102041	0.00720621	98	902
UR	UR	GENE2:missense;lof;synonymous:0.01	UR	UR	41	0.0205	0	-0.11746	0.562584	-0.371122	3.15955	0.834614	0.834614	false	0.0204082	0.02051	98	902
