CHR	POS	MarkerID	Allele1	Allele2	AC_Allele2	AF_Allele2	MissingRate	BETA	SE	Tstat	var	p.value	p.value.NA	Is.SPA	AF_case	AF_ctrl	N_case	N_ctrl	N_case_hom	N_case_het	N_ctrl_hom	N_ctrl_het
1	4	rs4	A	C	20	0.01	0	-0.0666176	0.792739	-0.106006	1.59126	0.933029	0.933029	false	0.0102041	0.00997783	98	902	0	2	0	18
1	12	rs12	A	C	30	0.015	0	-0.0849929	0.658456	-0.196033	2.30647	0.897295	0.897295	false	0.0153061	0.0149667	98	902	0	3	0	27
1	14	rs14	A	C	75	0.0375	0	-0.066784	0.435051	-0.352852	5.28349	0.877997	0.877997	false	0.0306122	0.0382483	98	902	1	4	2	65
1	15	rs15	A	C	244	0.122	0	-0.283544	0.247137	-4.64241	16.3728	0.251252	0.251252	false	0.0969388	0.124723	98	902	2	15	12	201
1	20	rs20	A	C	762	0.381	0	-0.00278822	0.165443	-0.101866	36.5346	0.986554	0.986554	false	0.367347	0.382483	98	902	14	44	128	434
1	22	rs22	A	C	459	0.2295	0	0.144412	0.194226	3.82812	26.5084	0.457166	0.457166	false	0.255102	0.226718	98	902	7	36	43	323
1	23	rs23	A	C	607	0.3035	0	-0.446465	0.174703	-14.6586	32.8325	0.0106016	0.0105207	true	0.229592	0.31153	98	902	5	35	93	376
1	26	rs26	A	C	996	0.498	0	0.296335	0.163426	11.0953	37.4417	0.0697917	0.0697917	false	0.561224	0.491131	98	902	30	50	212	462
1	27	rs27	A	C	234	0.117	0	-0.223841	0.258034	-3.3619	15.0191	0.385676	0.385676	false	0.102041	0.118625	98	902	0	20	10	194
1	29	rs29	A	C	531	0.2655	0	-0.178404	0.187227	-5.08939	28.5273	0.340655	0.340655	false	0.219388	0.27051	98	902	5	33	64	360
1	30	rs30	A	C	351	0.1755	0	-0.135754	0.210699	-3.05792	22.5254	0.519379	0.519379	false	0.147959	0.178492	98	902	5	19	34	254
1	37	rs37	A	C	34	0.017	0	-0.419148	0.663713	-0.951495	2.27007	0.527701	0.527701	false	0.0102041	0.0177384	98	902	0	2	0	32
1	38	rs38	A	C	102	0.051	0	0.999678	0.383094	6.8557	6.8579	0.00906789	0.00884684	true	0.0816327	0.0476718	98	902	0	16	2	82
1	48	rs48	A	C	580	0.29	0	-0.262889	0.178581	-8.24332	31.3567	0.140994	0.140994	false	0.239796	0.295455	98	902	3	41	85	363
1	50	rs50	A	C	145	0.0725	0	-0.132592	0.307886	-1.39875	10.5492	0.66672	0.66672	false	0.0612245	0.0737251	98	902	0	12	9	115
1	54	rs54	A	C	216	0.108	0	-0.400404	0.269293	-5.52136	13.7895	0.13705	0.13705	false	0.0765306	0.111419	98	902	0	15	9	183
1	57	rs57	A	C	366	0.183	0	-0.25676	0.206914	-5.99721	23.3573	0.214641	0.214641	false	0.158163	0.185698	98	902	0	31	38	259
1	64	rs64	A	C	869	0.4345	0	0.222121	0.158531	8.8382	39.79	0.161177	0.161177	false	0.489796	0.428492	98	902	24	48	175	423
1	66	rs66	A	C	567	0.2835	0	0.120596	0.173328	4.01416	33.2861	0.486575	0.486575	false	0.30102	0.281596	98	902	15	29	71	366
1	68	rs68	A	C	545	0.2725	0	-0.0126358	0.181906	-0.381865	30.2209	0.944621	0.944621	false	0.270408	0.272727	98	902	9	35	64	364
1	71	rs71	A	C	45	0.0225	0	0.248393	0.524143	0.904147	3.63999	0.63557	0.63557	false	0.0306122	0.0216186	98	902	0	6	0	39
1	75	rs75	A	C	60	0.03	0	-0.0963752	0.446136	-0.484205	5.02417	0.828971	0.828971	false	0.0306122	0.0299335	98	902	0	6	2	50
1	79	rs79	A	C	22	0.011	0	0.426772	0.755065	0.748561	1.75401	0.571929	0.571929	false	0.0153061	0.0105322	98	902	0	3	0	19
1	81	rs81	A	C	314	0.157	0	0.223828	0.219592	4.64173	20.738	0.308066	0.308066	false	0.178571	0.154656	98	902	5	25	20	239
1	83	rs83	A	C	48	0.024	0	-1.01285	0.541459	-3.45475	3.4109	0.0614002	0.0614002	false	0.00510204	0.0260532	98	902	0	1	0	47
1	86	rs86	A	C	304	0.152	0	0.236739	0.227617	4.5694	19.3014	0.298306	0.298306	false	0.178571	0.149113	98	902	4	27	15	239
1	90	rs90	A	C	135	0.0675	0	-0.00732369	0.309012	-0.0766973	10.4725	0.981092	0.981092	false	0.0663265	0.0676275	98	902	2	9	6	110
1	92	rs92	A	C	217	0.1085	0	-0.264349	0.253489	-4.11394	15.5626	0.297022	0.297022	false	0.0918367	0.11031	98	902	3	12	10	179
1	94	rs94	A	C	699	0.3495	0	-0.0590879	0.169142	-2.06537	34.9542	0.726834	0.726834	false	0.341837	0.350333	98	902	10	47	109	414
1	96	rs96	A	C	219	0.1095	0	0.319655	0.253962	4.95612	15.5046	0.20815	0.20815	false	0.137755	0.10643	98	902	1	25	12	168
1	97	rs97	A	C	801	0.4005	0	-0.280853	0.165662	-10.2337	36.438	0.0900118	0.0900118	false	0.346939	0.406319	98	902	10	48	148	437
1	99	rs99	A	C	284	0.142	0	-0.468953	0.23847	-8.24633	17.5846	0.0492404	0.0492404	false	0.0918367	0.14745	98	902	0	18	17	232
