CHR	POS	MarkerID	Allele1	Allele2	AC_Allele2	AF_Allele2	MissingRate	BETA	SE	Tstat	var	p.value	p.value.NA	Is.SPA	AF_case	AF_ctrl	N_case	N_ctrl
1	4	rs4	A	C	20	0.01	0	-0.151416	0.780781	-0.248378	1.64037	0.846232	0.846232	false	0.0102041	0.00997783	98	902
1	12	rs12	A	C	30	0.015	0	-0.102172	0.662497	-0.23279	2.27841	0.877434	0.877434	false	0.0153061	0.0149667	98	902
1	14	rs14	A	C	75	0.0375	0	-0.0757153	0.432423	-0.404918	5.34789	0.861004	0.861004	false	0.0306122	0.0382483	98	902
1	15	rs15	A	C	244	0.122	0	-0.282834	0.247744	-4.60812	16.2927	0.253605	0.253605	false	0.0969388	0.124723	98	902
1	20	rs20	A	C	762	0.381	0	-4.7279e+14	2.84917e+14	-1.21043e-14	2.56017e-29	0.0970354	0.0167463	true	0.367347	0.382483	98	902
1	22	rs22	A	C	459	0.2295	0	-0.221853	7.06808e+06	-4.44082e-15	2.00169e-14	1	1	false	0.255102	0.226718	98	902
1	23	rs23	A	C	607	0.3035	0	-0.442577	0.174999	-14.4789	32.7149	0.0114383	0.0113607	true	0.229592	0.31153	98	902
1	26	rs26	A	C	996	0.498	0	0.295217	0.164012	10.9747	37.1749	0.0718649	0.0718649	false	0.561224	0.491131	98	902
1	27	rs27	A	C	234	0.117	0	-0.229161	0.26022	-3.38423	14.7679	0.378511	0.378511	false	0.102041	0.118625	98	902
1	29	rs29	A	C	531	0.2655	0	-0.169298	0.188215	-4.77906	28.2288	0.368391	0.368391	false	0.219388	0.27051	98	902
1	30	rs30	A	C	351	0.1755	0	-0.153062	0.210641	-3.44969	22.5379	0.467442	0.467442	false	0.147959	0.178492	98	902
1	37	rs37	A	C	34	0.017	0	-0.400966	0.671736	-0.888607	2.21617	0.550568	0.550568	false	0.0102041	0.0177384	98	902
1	38	rs38	A	C	102	0.051	0	0.984989	0.383262	6.73475	6.83739	0.0101693	0.010007	true	0.0816327	0.0476718	98	902
1	48	rs48	A	C	580	0.29	0	-0.273074	0.179069	-8.5161	31.186	0.127267	0.127267	false	0.239796	0.295455	98	902
1	50	rs50	A	C	145	0.0725	0	-0.10949	0.312043	-1.12446	10.27	0.725678	0.725678	false	0.0612245	0.0737251	98	902
1	54	rs54	A	C	216	0.108	0	-0.398547	0.270112	-5.46252	13.7061	0.140081	0.140081	false	0.0765306	0.111419	98	902
1	57	rs57	A	C	366	0.183	0	-0.251973	0.207759	-5.83759	23.1675	0.225201	0.225201	false	0.158163	0.185698	98	902
1	64	rs64	A	C	869	0.4345	0	0.222801	0.159527	8.75487	39.2946	0.162523	0.162523	false	0.489796	0.428492	98	902
1	66	rs66	A	C	567	0.2835	0	0.123244	0.17426	4.05854	32.9311	0.479417	0.479417	false	0.30102	0.281596	98	902
1	68	rs68	A	C	545	0.2725	0	-0.0047762	0.182339	-0.143655	30.0773	0.979103	0.979103	false	0.270408	0.272727	98	902
1	71	rs71	A	C	45	0.0225	0	0.2919	0.536506	1.01411	3.47416	0.58639	0.58639	false	0.0306122	0.0216186	98	902
1	75	rs75	A	C	60	0.03	0	-0.0929844	0.44799	-0.463311	4.98267	0.835573	0.835573	false	0.0306122	0.0299335	98	902
1	79	rs79	A	C	22	0.011	0	0.335391	0.754713	0.588827	1.75564	0.656757	0.656757	false	0.0153061	0.0105322	98	902
1	81	rs81	A	C	314	0.157	0	0.2087	0.220331	4.29903	20.5991	0.343531	0.343531	false	0.178571	0.154656	98	902
1	83	rs83	A	C	48	0.024	0	-1.02171	0.545661	-3.43149	3.35857	0.0611472	0.0611472	false	0.00510204	0.0260532	98	902
1	86	rs86	A	C	304	0.152	0	0.221573	0.228407	4.24714	19.1682	0.332008	0.332008	false	0.178571	0.149113	98	902
1	90	rs90	A	C	135	0.0675	0	-0.000260706	0.310758	-0.00269965	10.3551	0.999331	0.999331	false	0.0663265	0.0676275	98	902
1	92	rs92	A	C	217	0.1085	0	-0.25495	0.255851	-3.89475	15.2765	0.319018	0.319018	false	0.0918367	0.11031	98	902
1	94	rs94	A	C	699	0.3495	0	-0.058039	0.170319	-2.00077	34.4728	0.733279	0.733279	false	0.341837	0.350333	98	902
1	96	rs96	A	C	219	0.1095	0	0.344482	0.25605	5.25431	15.2528	0.178507	0.178507	false	0.137755	0.10643	98	902
1	97	rs97	A	C	801	0.4005	0	-0.288869	0.166587	-10.4092	36.0345	0.0829105	0.0829105	false	0.346939	0.406319	98	902
1	99	rs99	A	C	284	0.142	0	-0.472515	0.239568	-8.23301	17.4238	0.0485681	0.0485681	false	0.0918367	0.14745	98	902
