CHR	POS	MarkerID	Allele1	Allele2	AC_Allele2	AF_Allele2	MissingRate	BETA	SE	Tstat	var	p.value	p.value.NA	Is.SPA	AF_case	AF_ctrl	N_case	N_ctrl
1	4	rs4	A	C	20	0.01	0	-0.0661039	0.790161	-0.105876	1.60165	0.933328	0.933328	false	0.0102041	0.00997783	98	902
1	17	rs17	A	C	12	0.006	0	-0.0542031	0.830933	-0.0785041	1.44833	0.94799	0.94799	false	0.0102041	0.00554324	98	902
1	31	rs31	A	C	16	0.008	0	-1.168	1.07019	-1.01981	0.873125	0.275099	0.275099	false	0	0.00886918	98	902
1	33	rs33	A	C	17	0.0085	0	-0.406973	0.913755	-0.487423	1.19768	0.656042	0.656042	false	0.00510204	0.00886918	98	902
UR	UR	GENE1:lof:0.001	UR	UR	5	0.0025	0	3.56297	1.59615	1.39291	0.390941	0.0256002	0.0258967	true	0.0102041	0.00166297	98	902
UR	UR	GENE1:lof:0.01	UR	UR	45	0.0225	0	-0.309086	0.524336	-1.12424	3.63731	0.555539	0.555539	false	0.0204082	0.0227273	98	902
UR	UR	GENE1:missense;lof:0.001	UR	UR	10	0.005	0	2.11543	1.10416	1.73516	0.820236	0.05538	0.05538	false	0.0153061	0.00388027	98	902
UR	UR	GENE1:missense;lof:0.01	UR	UR	54	0.027	0	-0.254553	0.481809	-1.09655	4.30775	0.597272	0.597272	false	0.0255102	0.0271619	98	902
UR	UR	GENE1:missense;lof;synonymous:0.001	UR	UR	10	0.005	0	2.11543	1.10416	1.73516	0.820236	0.05538	0.05538	false	0.0153061	0.00388027	98	902
UR	UR	GENE1:missense;lof;synonymous:0.01	UR	UR	54	0.027	0	-0.254553	0.481809	-1.09655	4.30775	0.597272	0.597272	false	0.0255102	0.0271619	98	902
1	60	rs60	A	C	11	0.0055	0	1.21856	0.947614	1.35701	1.11362	0.19847	0.19847	false	0.0153061	0.00443459	98	902
1	70	rs70	A	C	12	0.006	0	-0.130679	1.0458	-0.119483	0.914323	0.900559	0.900559	false	0.00510204	0.00609756	98	902
1	91	rs91	A	C	13	0.0065	0	0.737817	1.00539	0.729926	0.989304	0.463034	0.463034	false	0.0102041	0.00609756	98	902
UR	UR	GENE2:lof:0.001	UR	UR	5	0.0025	0	-1.25354	1.56923	-0.509054	0.406095	0.424393	0.424393	false	0	0.00277162	98	902
UR	UR	GENE2:lof:0.01	UR	UR	9	0.0045	0	-1.23471	1.26473	-0.771918	0.62518	0.328933	0.328933	false	0	0.00498891	98	902
UR	UR	GENE2:missense;lof:0.001	UR	UR	15	0.0075	0	0.046628	0.839574	0.0661498	1.41867	0.95571	0.95571	false	0.0102041	0.00720621	98	902
UR	UR	GENE2:missense;lof:0.01	UR	UR	41	0.0205	0	-0.108027	0.567597	-0.335313	3.10398	0.849056	0.849056	false	0.0204082	0.02051	98	902
UR	UR	GENE2:missense;lof;synonymous:0.001	UR	UR	15	0.0075	0	0.046628	0.839574	0.0661498	1.41867	0.95571	0.95571	false	0.0102041	0.00720621	98	902
UR	UR	GENE2:missense;lof;synonymous:0.01	UR	UR	41	0.0205	0	-0.108027	0.567597	-0.335313	3.10398	0.849056	0.849056	false	0.0204082	0.02051	98	902
