CHR	POS	MarkerID	Allele1	Allele2	AC_Allele2	AF_Allele2	MissingRate	BETA	SE	Tstat	var	p.value	p.value.NA	Is.SPA	BETA_c	SE_c	Tstat_c	var_c	p.value_c	p.value.NA_c	AF_case	AF_ctrl	N_case	N_ctrl	N_case_hom	N_case_het	N_ctrl_hom	N_ctrl_het
1	4	rs4	A	C	20	0.01	0	-0.0665671	0.792437	-0.106006	1.59247	0.933054	0.933054	false	-0.0490941	0.792694	-0.0781301	1.59144	0.950616	0.950616	0.0102041	0.00997783	98	902	0	2	0	18
1	12	rs12	A	C	30	0.015	0	-0.0849283	0.658205	-0.196033	2.30822	0.897334	0.897334	false	-0.0669681	0.658526	-0.154427	2.30597	0.919	0.919	0.0153061	0.0149667	98	902	0	3	0	27
1	14	rs14	A	C	75	0.0375	0	-0.0667332	0.434885	-0.352852	5.28751	0.878043	0.878043	false	-0.0527151	0.435282	-0.278224	5.27788	0.903607	0.903607	0.0306122	0.0382483	98	902	1	4	2	65
1	15	rs15	A	C	244	0.122	0	-0.283328	0.247043	-4.64241	16.3853	0.251433	0.251433	false	-0.273201	0.247288	-4.46763	16.3529	0.269251	0.269251	0.0969388	0.124723	98	902	2	15	12	201
1	20	rs20	A	C	762	0.381	0	-0.0027861	0.16538	-0.101867	36.5624	0.986559	0.986559	false	-0.00855422	0.165747	-0.311378	36.4005	0.958839	0.958839	0.367347	0.382483	98	902	14	44	128	434
1	22	rs22	A	C	459	0.2295	0	0.144302	0.194152	3.82813	26.5286	0.457337	0.457337	false	0.126159	0.195424	3.3034	26.1844	0.518561	0.518561	0.255102	0.226718	98	902	7	36	43	323
1	23	rs23	A	C	607	0.3035	0	-0.446125	0.174636	-14.6586	32.8575	0.0106311	0.0105501	true	-0.446724	0.175256	-14.5742	32.6247	0.0108039	0.010723	0.229592	0.31153	98	902	5	35	93	376
1	26	rs26	A	C	996	0.498	0	0.296109	0.163364	11.0953	37.4702	0.069898	0.069898	false	0.304182	0.163722	11.3481	37.3068	0.0631798	0.0631798	0.561224	0.491131	98	902	30	50	212	462
1	27	rs27	A	C	234	0.117	0	-0.223671	0.257936	-3.3619	15.0306	0.385856	0.385856	false	-0.210266	0.258367	-3.14989	14.9805	0.415744	0.415744	0.102041	0.118625	98	902	0	20	10	194
1	29	rs29	A	C	531	0.2655	0	-0.178268	0.187156	-5.08939	28.549	0.340838	0.340838	false	-0.185517	0.187596	-5.27156	28.4154	0.322701	0.322701	0.219388	0.27051	98	902	5	33	64	360
1	30	rs30	A	C	351	0.1755	0	-0.135651	0.210619	-3.05792	22.5426	0.519538	0.519538	false	-0.132102	0.21077	-2.97366	22.5104	0.530818	0.530818	0.147959	0.178492	98	902	5	19	34	254
1	37	rs37	A	C	34	0.017	0	-0.418829	0.66346	-0.951495	2.2718	0.527858	0.527858	false	-0.403391	0.663752	-0.915617	2.2698	0.543358	0.543358	0.0102041	0.0177384	98	902	0	2	0	32
1	38	rs38	A	C	102	0.051	0	0.998918	0.382938	6.8557	6.86312	0.00909236	0.00887267	true	0.996595	0.383169	6.82853	6.85186	0.00929715	0.00908888	0.0816327	0.0476718	98	902	0	16	2	82
1	48	rs48	A	C	580	0.29	0	-0.262689	0.178513	-8.24332	31.3805	0.141145	0.141145	false	-0.258097	0.178581	-8.09305	31.3566	0.148383	0.148383	0.239796	0.295455	98	902	3	41	85	363
1	50	rs50	A	C	145	0.0725	0	-0.132491	0.307768	-1.39875	10.5573	0.666839	0.666839	false	-0.121153	0.308028	-1.27689	10.5395	0.694084	0.694084	0.0612245	0.0737251	98	902	0	12	9	115
1	54	rs54	A	C	216	0.108	0	-0.400099	0.269191	-5.52137	13.8	0.137199	0.137199	false	-0.394967	0.269354	-5.44393	13.7833	0.142554	0.142554	0.0765306	0.111419	98	902	0	15	9	183
1	57	rs57	A	C	366	0.183	0	-0.256565	0.206835	-5.99722	23.375	0.214815	0.214815	false	-0.254862	0.206844	-5.95688	23.373	0.217895	0.217895	0.158163	0.185698	98	902	0	31	38	259
1	64	rs64	A	C	869	0.4345	0	0.221952	0.15847	8.8382	39.8202	0.161336	0.161336	false	0.233317	0.159069	9.22093	39.521	0.14244	0.14244	0.489796	0.428492	98	902	24	48	175	423
1	66	rs66	A	C	567	0.2835	0	0.120504	0.173262	4.01416	33.3114	0.486741	0.486741	false	0.124843	0.173694	4.13806	33.1461	0.472292	0.472292	0.30102	0.281596	98	902	15	29	71	366
