CHR	POS	MarkerID	Allele1	Allele2	AC_Allele2	AF_Allele2	MissingRate	BETA	SE	Tstat	var	p.value	p.value.NA	Is.SPA	AF_case	AF_ctrl	N_case	N_ctrl	N_case_hom	N_case_het	N_ctrl_hom	N_ctrl_het
1	4	rs4	C	A	1980	0.99	0	0.0665671	0.792437	0.106006	1.59247	0.933054	0.933054	false	0.989796	0.990022	98	902	96	2	884	18
1	12	rs12	C	A	1970	0.985	0	0.0849283	0.658205	0.196033	2.30822	0.897334	0.897334	false	0.984694	0.985033	98	902	95	3	875	27
1	14	rs14	C	A	1925	0.9625	0	0.0667332	0.434885	0.352852	5.28751	0.878043	0.878043	false	0.969388	0.961752	98	902	93	4	835	65
1	15	rs15	C	A	1756	0.878	0	0.283328	0.247043	4.64241	16.3853	0.251433	0.251433	false	0.903061	0.875277	98	902	81	15	689	201
1	20	rs20	C	A	1238	0.619	0	0.0027861	0.16538	0.101867	36.5624	0.986559	0.986559	false	0.632653	0.617517	98	902	40	44	340	434
1	22	rs22	C	A	1541	0.7705	0	-0.144302	0.194152	-3.82813	26.5286	0.457337	0.457337	false	0.744898	0.773282	98	902	55	36	536	323
1	23	rs23	C	A	1393	0.6965	0	0.446125	0.174636	14.6586	32.8575	0.0106311	0.0105501	true	0.770408	0.68847	98	902	58	35	433	376
1	26	rs26	C	A	1004	0.502	0	-0.296109	0.163364	-11.0953	37.4702	0.069898	0.069898	false	0.438776	0.508869	98	902	18	50	228	462
1	27	rs27	C	A	1766	0.883	0	0.223671	0.257936	3.3619	15.0306	0.385856	0.385856	false	0.897959	0.881375	98	902	78	20	698	194
1	29	rs29	C	A	1469	0.7345	0	0.178268	0.187156	5.08939	28.549	0.340838	0.340838	false	0.780612	0.72949	98	902	60	33	478	360
1	30	rs30	C	A	1649	0.8245	0	0.135651	0.210619	3.05792	22.5426	0.519538	0.519538	false	0.852041	0.821508	98	902	74	19	614	254
1	37	rs37	C	A	1966	0.983	0	0.418829	0.66346	0.951495	2.2718	0.527858	0.527858	false	0.989796	0.982262	98	902	96	2	870	32
1	38	rs38	C	A	1898	0.949	0	-0.998918	0.382938	-6.8557	6.86312	0.00909236	0.00887267	true	0.918367	0.952328	98	902	82	16	818	82
1	48	rs48	C	A	1420	0.71	0	0.262689	0.178513	8.24332	31.3805	0.141145	0.141145	false	0.760204	0.704545	98	902	54	41	454	363
1	50	rs50	C	A	1855	0.9275	0	0.132491	0.307768	1.39875	10.5573	0.666839	0.666839	false	0.938776	0.926275	98	902	86	12	778	115
1	54	rs54	C	A	1784	0.892	0	0.400099	0.269191	5.52137	13.8	0.137199	0.137199	false	0.923469	0.888581	98	902	83	15	710	183
1	57	rs57	C	A	1634	0.817	0	0.256565	0.206835	5.99722	23.375	0.214815	0.214815	false	0.841837	0.814302	98	902	67	31	605	259
1	64	rs64	C	A	1131	0.5655	0	-0.221952	0.15847	-8.8382	39.8202	0.161336	0.161336	false	0.510204	0.571508	98	902	26	48	304	423
1	66	rs66	C	A	1433	0.7165	0	-0.120504	0.173262	-4.01416	33.3114	0.486741	0.486741	false	0.69898	0.718404	98	902	54	29	465	366
1	68	rs68	C	A	1455	0.7275	0	0.0126262	0.181837	0.381866	30.2439	0.944642	0.944642	false	0.729592	0.727273	98	902	54	35	474	364
1	71	rs71	C	A	1955	0.9775	0	-0.248204	0.523944	-0.904147	3.64276	0.635698	0.635698	false	0.969388	0.978381	98	902	92	6	863	39
1	75	rs75	C	A	1940	0.97	0	0.0963019	0.445967	0.484206	5.028	0.829035	0.829035	false	0.969388	0.970067	98	902	92	6	850	50
1	79	rs79	C	A	1978	0.989	0	-0.426448	0.754778	-0.748562	1.75534	0.572075	0.572075	false	0.984694	0.989468	98	902	95	3	883	19
1	81	rs81	C	A	1686	0.843	0	-0.223657	0.219509	-4.64173	20.7538	0.30825	0.30825	false	0.821429	0.845344	98	902	68	25	643	239
1	83	rs83	C	A	1952	0.976	0	1.01208	0.541253	3.45475	3.4135	0.061499	0.061499	false	0.994898	0.973947	98	902	97	1	855	47
1	86	rs86	C	A	1696	0.848	0	-0.236559	0.227531	-4.5694	19.3161	0.298489	0.298489	false	0.821429	0.850887	98	902	67	27	648	239
1	90	rs90	C	A	1865	0.9325	0	0.00731817	0.308894	0.0766979	10.4805	0.981099	0.981099	false	0.933673	0.932373	98	902	87	9	786	110
1	92	rs92	C	A	1783	0.8915	0	0.264148	0.253393	4.11394	15.5744	0.297206	0.297206	false	0.908163	0.88969	98	902	83	12	713	179
1	94	rs94	C	A	1301	0.6505	0	0.0590429	0.169077	2.06537	34.9808	0.726934	0.726934	false	0.658163	0.649667	98	902	41	47	379	414
1	96	rs96	C	A	1781	0.8905	0	-0.319411	0.253866	-4.95612	15.5164	0.208323	0.208323	false	0.862245	0.89357	98	902	72	25	722	168
1	97	rs97	C	A	1199	0.5995	0	0.280639	0.165599	10.2337	36.4657	0.090134	0.090134	false	0.653061	0.593681	98	902	40	48	317	437
1	99	rs99	C	A	1716	0.858	0	0.468596	0.23838	8.24633	17.5979	0.0493267	0.0493267	false	0.908163	0.85255	98	902	80	18	653	232
