CHR	POS	MarkerID	Allele1	Allele2	AC_Allele2	AF_Allele2	MissingRate	BETA	SE	Tstat	var	p.value	p.value.NA	Is.SPA	AF_case	AF_ctrl	N_case	N_ctrl	N_case_hom	N_case_het	N_ctrl_hom	N_ctrl_het
1	4	rs4	A	C	20	0.01	0	-0.0672419	0.79075	-0.107538	1.59927	0.932233	0.932233	false	0.0102041	0.00997783	98	902	0	2	0	18
1	12	rs12	A	C	30	0.015	0	-0.0900646	0.655758	-0.209444	2.32548	0.890759	0.890759	false	0.0153061	0.0149667	98	902	0	3	0	27
1	14	rs14	A	C	75	0.0375	0	-0.0677423	0.434031	-0.359599	5.30834	0.875972	0.875972	false	0.0306122	0.0382483	98	902	1	4	2	65
1	15	rs15	A	C	244	0.122	0	-0.2829	0.24648	-4.65659	16.4602	0.251069	0.251069	false	0.0969388	0.124723	98	902	2	15	12	201
1	20	rs20	A	C	762	0.381	0	-0.00344123	0.164993	-0.12641	36.7339	0.98336	0.98336	false	0.367347	0.382483	98	902	14	44	128	434
1	22	rs22	A	C	459	0.2295	0	0.142604	0.193692	3.80108	26.6547	0.461585	0.461585	false	0.255102	0.226718	98	902	7	36	43	323
1	23	rs23	A	C	607	0.3035	0	-0.466926	0.182859	-14.6769	33.3454	0.0131139	0.011033	true	0.229592	0.31153	98	902	5	35	93	376
1	26	rs26	A	C	996	0.498	0	0.29929	0.159415	11.1546	37.6019	0.0689022	0.0689022	false	0.561224	0.491131	98	902	30	50	212	462
1	27	rs27	A	C	234	0.117	0	-0.223767	0.257383	-3.37782	15.0952	0.384632	0.384632	false	0.102041	0.118625	98	902	0	20	10	194
1	29	rs29	A	C	531	0.2655	0	-0.177943	0.18674	-5.10278	28.6765	0.340645	0.340645	false	0.219388	0.27051	98	902	5	33	64	360
1	30	rs30	A	C	351	0.1755	0	-0.136023	0.21018	-3.07912	22.6368	0.517521	0.517521	false	0.147959	0.178492	98	902	5	19	34	254
1	37	rs37	A	C	34	0.017	0	-0.416864	0.661975	-0.951288	2.28201	0.528872	0.528872	false	0.0102041	0.0177384	98	902	0	2	0	32
1	38	rs38	A	C	102	0.051	0	0.830941	0.297839	6.89308	6.9614	0.00921078	0.00898692	true	0.0816327	0.0476718	98	902	0	16	2	82
1	48	rs48	A	C	580	0.29	0	-0.261551	0.178141	-8.24193	31.5117	0.142043	0.142043	false	0.239796	0.295455	98	902	3	41	85	363
1	50	rs50	A	C	145	0.0725	0	-0.133235	0.306842	-1.41511	10.6211	0.664132	0.664132	false	0.0612245	0.0737251	98	902	0	12	9	115
1	54	rs54	A	C	216	0.108	0	-0.399556	0.268615	-5.53755	13.8593	0.136891	0.136891	false	0.0765306	0.111419	98	902	0	15	9	183
1	57	rs57	A	C	366	0.183	0	-0.256652	0.206308	-6.02995	23.4947	0.213491	0.213491	false	0.158163	0.185698	98	902	0	31	38	259
1	64	rs64	A	C	869	0.4345	0	0.219994	0.158085	8.80295	40.0144	0.164038	0.164038	false	0.489796	0.428492	98	902	24	48	175	423
1	66	rs66	A	C	567	0.2835	0	0.119951	0.172921	4.01152	33.443	0.487885	0.487885	false	0.30102	0.281596	98	902	15	29	71	366
1	68	rs68	A	C	545	0.2725	0	-0.011715	0.181501	-0.355618	30.3557	0.948536	0.948536	false	0.270408	0.272727	98	902	9	35	64	364
1	71	rs71	A	C	45	0.0225	0	0.250034	0.523198	0.913412	3.65315	0.632724	0.632724	false	0.0306122	0.0216186	98	902	0	6	0	39
1	75	rs75	A	C	60	0.03	0	-0.0938027	0.44514	-0.473393	5.04669	0.833101	0.833101	false	0.0306122	0.0299335	98	902	0	6	2	50
1	79	rs79	A	C	22	0.011	0	0.427171	0.754023	0.751334	1.75886	0.571038	0.571038	false	0.0153061	0.0105322	98	902	0	3	0	19
1	81	rs81	A	C	314	0.157	0	0.224913	0.219167	4.68236	20.8186	0.304789	0.304789	false	0.178571	0.154656	98	902	5	25	20	239
1	83	rs83	A	C	48	0.024	0	-1.32394	0.860047	-3.44262	3.41889	0.0626231	0.0626231	false	0.00510204	0.0260532	98	902	0	1	0	47
1	86	rs86	A	C	304	0.152	0	0.234725	0.227042	4.55352	19.3994	0.301211	0.301211	false	0.178571	0.149113	98	902	4	27	15	239
1	90	rs90	A	C	135	0.0675	0	-0.00903501	0.308121	-0.0951669	10.5331	0.976607	0.976607	false	0.0663265	0.0676275	98	902	2	9	6	110
1	92	rs92	A	C	217	0.1085	0	-0.264669	0.252846	-4.13992	15.6419	0.29521	0.29521	false	0.0918367	0.11031	98	902	3	12	10	179
1	94	rs94	A	C	699	0.3495	0	-0.0589187	0.16875	-2.06902	35.1165	0.726979	0.726979	false	0.341837	0.350333	98	902	10	47	109	414
1	96	rs96	A	C	219	0.1095	0	0.318944	0.253425	4.96608	15.5704	0.2082	0.2082	false	0.137755	0.10643	98	902	1	25	12	168
1	97	rs97	A	C	801	0.4005	0	-0.271995	0.163296	-10.2032	36.6202	0.091781	0.091781	false	0.346939	0.406319	98	902	10	48	148	437
1	99	rs99	A	C	284	0.142	0	-0.521429	0.263917	-8.25115	17.9044	0.051176	0.051176	false	0.0918367	0.14745	98	902	0	18	17	232
