CHR	POS	MarkerID	Allele1	Allele2	AC_Allele2	AF_Allele2	MissingRate	BETA	SE	Tstat	var	p.value	p.value.NA	Is.SPA	AF_case	AF_ctrl	N_case	N_ctrl
chr1	4	rs4	A	C	20	0.01	0	-0.151427	0.780507	-0.248571	1.64152	0.846167	0.846167	false	0.0102041	0.00997783	98	902
chr1	17	rs17	A	C	12	0.006	0	-0.0222489	0.850207	-0.0307793	1.38341	0.979123	0.979123	false	0.0102041	0.00554324	98	902
chr1	31	rs31	A	C	16	0.008	0	-1.14226	1.07459	-0.989198	0.866001	0.287792	0.287792	false	0	0.00886918	98	902
chr1	33	rs33	A	C	17	0.0085	0	-0.383843	0.916108	-0.457362	1.19154	0.675221	0.675221	false	0.00510204	0.00886918	98	902
UR	UR	GENE1:lof:0.001	UR	UR	38.4	0.0192	0	0.595602	0.300041	9.03354	15.1671	0.0471368	0.0203643	true	0.0617347	0.0145787	98	902
UR	UR	GENE1:lof:0.01	UR	UR	283.4	0.1417	0	-0.0500717	0.080751	-7.67886	153.357	0.535208	0.535208	false	0.114286	0.144678	98	902
UR	UR	GENE1:missense;lof:0.001	UR	UR	43.5	0.02175	0	0.605391	0.294713	9.5936	15.8469	0.0399591	0.0159545	true	0.0688776	0.0166297	98	902
UR	UR	GENE1:missense;lof:0.01	UR	UR	309.7	0.15485	0	-0.0588035	0.0775409	-9.78007	166.318	0.448238	0.448238	false	0.12398	0.158204	98	902
UR	UR	GENE1:missense;lof;synonymous:0.001	UR	UR	43.5	0.02175	0	0.605391	0.294713	9.5936	15.8469	0.0399591	0.0159545	true	0.0688776	0.0166297	98	902
UR	UR	GENE1:missense;lof;synonymous:0.01	UR	UR	309.7	0.15485	0	-0.0588035	0.0775409	-9.78007	166.318	0.448238	0.448238	false	0.12398	0.158204	98	902
chr1	60	rs60	A	C	11	0.0055	0	1.26515	0.957249	1.38067	1.09131	0.186285	0.186285	false	0.0153061	0.00443459	98	902
chr1	70	rs70	A	C	12	0.006	0	-0.211042	1.01999	-0.202853	0.961197	0.836083	0.836083	false	0.00510204	0.00609756	98	902
chr1	91	rs91	A	C	13	0.0065	0	0.784215	1.01517	0.760953	0.970337	0.439821	0.439821	false	0.0102041	0.00609756	98	902
UR	UR	GENE2:lof:0.001	UR	UR	22.1	0.01105	0	-0.235373	0.304074	-2.54565	10.8154	0.438893	0.438893	false	0	0.0122506	98	902
UR	UR	GENE2:lof:0.01	UR	UR	49.3	0.02465	0	-0.20676	0.219772	-4.28077	20.704	0.34681	0.34681	false	0	0.0273282	98	902
UR	UR	GENE2:missense;lof:0.001	UR	UR	65.4	0.0327	0	-0.0391643	0.161923	-1.49374	38.1402	0.808881	0.808881	false	0.0357143	0.0323725	98	902
UR	UR	GENE2:missense;lof:0.01	UR	UR	236.3	0.11815	0	-0.0404565	0.0919675	-4.78321	118.231	0.66001	0.66001	false	0.0984694	0.120288	98	902
UR	UR	GENE2:missense;lof;synonymous:0.001	UR	UR	65.4	0.0327	0	-0.0391643	0.161923	-1.49374	38.1402	0.808881	0.808881	false	0.0357143	0.0323725	98	902
UR	UR	GENE2:missense;lof;synonymous:0.01	UR	UR	236.3	0.11815	0	-0.0404565	0.0919675	-4.78321	118.231	0.66001	0.66001	false	0.0984694	0.120288	98	902
