CHR	POS	MarkerID	Allele1	Allele2	AC_Allele2	AF_Allele2	MissingRate	BETA	SE	Tstat	var	p.value	p.value.NA	Is.SPA	BETA_c	SE_c	Tstat_c	var_c	p.value_c	p.value.NA_c	AF_case	AF_ctrl	N_case	N_ctrl
1	4	rs4	A	C	20	0.01	0	-0.0659247	0.789089	-0.105876	1.60601	0.933418	0.933418	false	-0.0544308	0.789289	-0.0873722	1.6052	0.94502	0.94502	0.0102041	0.00997783	98	902
1	17	rs17	A	C	12	0.006	0	-0.0553177	0.839433	-0.0785041	1.41915	0.947458	0.947458	false	-0.039547	0.839662	-0.0560924	1.41837	0.962435	0.962435	0.0102041	0.00554324	98	902
1	31	rs31	A	C	16	0.008	0	-1.14404	1.05916	-1.01981	0.891412	0.280079	0.280079	false	-1.15907	1.05994	-1.03168	0.890093	0.274167	0.274167	0	0.00886918	98	902
1	33	rs33	A	C	17	0.0085	0	-0.401014	0.907041	-0.487423	1.21548	0.658408	0.658408	false	-0.493142	0.91331	-0.591202	1.19885	0.589231	0.589231	0.00510204	0.00886918	98	902
UR	UR	GENE1:lof:0.001	UR	UR	5	0.0025	0	3.55269	1.72674	1.39291	0.392072	0.0396419	0.026112	true	3.56238	1.60366	1.39655	0.392026	0.0263233	0.0257159	0.0102041	0.00166297	98	902
UR	UR	GENE1:lof:0.01	UR	UR	45	0.0225	0	-0.306688	0.522298	-1.12424	3.66575	0.557076	0.557076	false	-0.294905	0.52262	-1.07972	3.66123	0.572562	0.572562	0.0204082	0.0227273	98	902
UR	UR	GENE1:missense;lof:0.001	UR	UR	10	0.005	0	2.1078	1.10216	1.73516	0.823208	0.0558222	0.0558222	false	2.09736	1.10285	1.72442	0.822183	0.0572012	0.0572012	0.0153061	0.00388027	98	902
UR	UR	GENE1:missense;lof:0.01	UR	UR	54	0.027	0	-0.252532	0.479893	-1.09655	4.34221	0.598731	0.598731	false	-0.237706	0.480304	-1.03041	4.33479	0.620664	0.620664	0.0255102	0.0271619	98	902
UR	UR	GENE1:missense;lof;synonymous:0.001	UR	UR	10	0.005	0	2.1078	1.10216	1.73516	0.823208	0.0558222	0.0558222	false	2.09736	1.10285	1.72442	0.822183	0.0572012	0.0572012	0.0153061	0.00388027	98	902
UR	UR	GENE1:missense;lof;synonymous:0.01	UR	UR	54	0.027	0	-0.252532	0.479893	-1.09655	4.34221	0.598731	0.598731	false	-0.237706	0.480304	-1.03041	4.33479	0.620664	0.620664	0.0255102	0.0271619	98	902
1	60	rs60	A	C	11	0.0055	0	1.2175	0.947204	1.35701	1.11458	0.198664	0.198664	false	1.19705	0.948832	1.32963	1.11076	0.207093	0.207093	0.0153061	0.00443459	98	902
1	70	rs70	A	C	12	0.006	0	-0.129113	1.03952	-0.119483	0.925413	0.901153	0.901153	false	-0.139737	1.04014	-0.129159	0.924299	0.893131	0.893131	0.00510204	0.00609756	98	902
1	91	rs91	A	C	13	0.0065	0	0.735626	1.0039	0.729925	0.992251	0.463699	0.463699	false	0.736437	1.00416	0.730349	0.991733	0.463323	0.463323	0.0102041	0.00609756	98	902
UR	UR	GENE2:lof:0.001	UR	UR	5	0.0025	0	-1.23792	1.55943	-0.509054	0.411216	0.427293	0.427293	false	-1.27699	1.56114	-0.523966	0.410314	0.413366	0.413366	0	0.00277162	98	902
UR	UR	GENE2:lof:0.01	UR	UR	9	0.0045	0	-1.21734	1.2558	-0.771918	0.634104	0.332359	0.332359	false	-1.24552	1.25711	-0.788138	0.632778	0.321794	0.321794	0	0.00498891	98	902
UR	UR	GENE2:missense;lof:0.001	UR	UR	15	0.0075	0	0.0463375	0.836956	0.0661497	1.42756	0.955848	0.955848	false	0.082009	0.840051	0.116212	1.41706	0.922231	0.922231	0.0102041	0.00720621	98	902
UR	UR	GENE2:missense;lof:0.01	UR	UR	41	0.0205	0	-0.106436	0.563403	-0.335313	3.15037	0.850158	0.850158	false	-0.107325	0.563479	-0.338022	3.14952	0.848942	0.848942	0.0204082	0.02051	98	902
UR	UR	GENE2:missense;lof;synonymous:0.001	UR	UR	15	0.0075	0	0.0463375	0.836956	0.0661497	1.42756	0.955848	0.955848	false	0.082009	0.840051	0.116212	1.41706	0.922231	0.922231	0.0102041	0.00720621	98	902
UR	UR	GENE2:missense;lof;synonymous:0.01	UR	UR	41	0.0205	0	-0.106436	0.563403	-0.335313	3.15037	0.850158	0.850158	false	-0.107325	0.563479	-0.338022	3.14952	0.848942	0.848942	0.0204082	0.02051	98	902
